KODE;NAMA;SAT;SAT2;KONVSAT2;SAT3;KONVSAT3;SAT4;KONVSAT4;SAT5;KONVSAT5;SAT6;KONVSAT6;SAT7;KONVSAT7;SAT8;KONVSAT8;SAT9;KONVSAT9;SAT10;KONVSAT10;HARGABELI;HPP;HARGAJUAL1;MINQTY;HARGAJUAL2;MINQTY2;HARGAJUAL3;MINQTY3;
-08998866107549;EMERON GINSENG HIJAU;RTG;RTG;1;KTK;21;;0;;0;;0;;0;;0;;0;;0;4524;0;6000;0;0;0;0;0;
-8994834008443;MISTER BEBETO 15G;PCS;PCS;1;LSN;40;;0;;0;;0;;0;;0;;0;;0;1737;0;2000;0;0;0;0;0;
00004;KURMA GOLDEN PALLEY                                   #UPDATE#04/02/2023#;KTK;KTK;1;KTK;1;;0;;0;;0;;0;;0;;0;;0;210000;210000;230000;0;0;0;0;0;
00005;AS KLEP NEOTECH THALLND                               #UPDATE#09/01/2024#;BH;;0;;0;;0;;0;;0;;0;;0;;0;;0;85000;17575.7576;170000;0;0;0;0;0;
00007;CARBURATOR BEAT  MOXIS                                #UPDATE#09/01/2024#;BH;;0;;0;;0;;0;;0;;0;;0;;0;;0;180000;546.2863;180000;0;0;0;0;0;
00021;PITATO STIK BALADO;PCS;PCS;1;LSN;40;;0;;0;;0;;0;;0;;0;;0;1725;0;2000;0;0;0;0;0;
00422;CARBURATOR MIO THALLND                                #UPDATE#09/01/2024#;BH;KTK;1;;0;;0;;0;;0;;0;;0;;0;;0;210000;101260.8696;350000;0;0;0;0;0;
02021;CARBURATOR KHARISMA MOXIS                             #UPDATE#09/01/2024#;BH;BH;1;;0;;0;;0;;0;;0;;0;;0;;0;125000;17858;200000;0;0;0;0;0;
03001;ADEM SARI                           #COVID19;KTK;KTK;1;KTK;1;;0;;0;;0;;0;;0;;0;;0;987000;1037760;998000;0;0;0;0;0;
03011;VAPE                                                  #UPDATE#29/10/2022#;KTK;KTK;1;KTK;1;;0;;0;;0;;0;;0;;0;;0;194600;194600;199000;0;0;0;0;0;
03012;ONE TOP SUPER JUMBO                 #COVID19;CRT;CRT;1;CRT;1;;0;;0;;0;;0;;0;;0;;0;166538;166538;170000;0;0;0;0;0;
03015;KINGKONG                                              #UPDATE#04/04/2023#;CRT;CRT;1;CRT;1;;0;;0;;0;;0;;0;;0;;0;242000;242000;245000;0;0;0;0;0;
04009;WIPOL REFIL 750ML                                     #UPDATE#26/01/2023#;CRT;CRT;1;CRT;1;;0;;0;;0;;0;;0;;0;;0;192500;192500;200000;0;0;0;0;0;
04010;SUPER PEL REFIL 750ML                                 #UPDATE#26/01/2023#;CRT;CRT;1;CRT;1;;0;;0;;0;;0;;0;;0;;0;157500;165300;165000;0;0;0;0;0;
04011;SUNLIGHT 90ML(E/2000)                                 #UPDATE#14/12/2022#;CRT;CRT;1;CRT;1;;0;;0;;0;;0;;0;;0;;0;115000;115000;119000;0;0;0;0;0;
04013;SUNLIGHT 370ML                                        #UPDATE#26/01/2023#;CRT;CRT;1;CRT;1;;0;;0;;0;;0;;0;;0;;0;154000;154000;162000;0;0;0;0;0;
04014;SUNLIGHT 650ML                                        #UPDATE#20/03/2023#;CRT;CRT;1;CRT;1;;0;;0;;0;;0;;0;;0;;0;132500;132500;137000;0;0;0;0;0;
04015;SUPERPEL REFIL 280ML;KTK;KTK;1;KTK;1;;0;;0;;0;;0;;0;;0;;0;101640;101640;105000;0;0;0;0;0;
